,,,,,,,,,,,,,,,,
,,,,,,IV Sweep,,,,,,,,,,,,,Optical Sweep,,,,,,,,,Set Wavelength,,,,,,,,,,,,,,SetVoltage,,,,,,Device Properties 
RoutineNumber, Device ID, ELECFlag, OPTICflag, setwflag, setvflag, Volt Select, Current Select, Volt Min,Volt Max,Current Min,Current Max,Volt Resolution,Current Resolution,IV/VI,RV/RI,PV/PI, Channel A, Channel B,Start,Stop,Stepsize,Sweep power,Sweep speed,Laser Output,Number of scans, Initial Range, Range Dec, Volt Select, Current Select, Volt Min,Volt Max,Current Min,Current Max,Volt Resolution,Current Resolution,IV/VI,RV/RI,PV/PI, Channel A, Channel B, Wavelength, Start, Stop, Stepsize, Sweep power,Sweep speed,Laser Output,Number of scans, Initial Range, Range Dec, Channel A, Channel B, Voltages, Wavelength, Polarization, Opt x, Opt y, type, Elec x, Elec y 
N/A,X:2273Y:25243StagedualCDCP320316G220N1200CW60WGa450b550nmC1Cal,True,,,,True,False,0,10,,,1,,True,False,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1550,TE,2273.0,2524.0,device,0,0,
N/A,X:1778Y:19033StagedualCDCP320316G220N1200CW60WGa450b550nmC1Cal,True,,,,True,False,0,10,,,1,,True,False,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1550,TE,1778.0,1903.0,device,0,0,
N/A,X:4069Y:17451StagedualCDCP320316G220N1200CW60WGa450b550nmC1Cal,True,,,,True,False,0,10,,,1,,True,False,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1550,TE,4069.0,1745.0,device,0,0,
N/A,X:4069Y:10163StagedualCDCP320316G220N1200CW60WGa450b550nmC1Cal,True,,,,True,False,0,10,,,1,,True,False,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1550,TE,4069.0,1016.0,device,0,0,
N/A,X:4069Y:14032StagedualCDCP320316G220N1200CW60WGa450b550nmC1Cal,True,,,,True,False,0,10,,,1,,True,False,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1550,TE,4069.0,1403.0,device,0,0,
N/A,X:-275Y:-3837WDMCDCP321nmCal1,True,,,,True,False,0,10,,,1,,True,False,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1550,TE,-275.0,-3837.0,device,0,0,
N/A,X:3518Y:15862StagedualCDCP320316G220N1200CW60WGa450b550nmC1Cal,True,,,,True,False,0,10,,,1,,True,False,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1550,TE,3518.0,1586.0,device,0,0,
N/A,X:3518Y:19111StagedualCDCP320316G220N1200CW60WGa450b550nmC1Cal,True,,,,True,False,0,10,,,1,,True,False,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1550,TE,3518.0,1911.0,device,0,0,
N/A,X:3518Y:21213StagedualCDCP320316G220N1200CW60WGa450b550nmC1Cal,True,,,,True,False,0,10,,,1,,True,False,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1550,TE,3518.0,2121.0,device,0,0,
N/A,X:3644Y:-3837WDMCDCP321nmCal1,True,,,,True,False,0,10,,,1,,True,False,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1550,TE,3644.0,-3837.0,device,0,0,
N/A,X:-2726Y:3404Calibration12,True,,,,True,False,0,10,,,1,,True,False,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1550,TE,-2726.0,3404.0,device,0,0,
N/A,X:-3306Y:1269Calibration4,True,,,,True,False,0,10,,,1,,True,False,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1550,TE,-3306.0,1269.0,device,0,0,
N/A,X:-3886Y:2478Calibration7,True,,,,True,False,0,10,,,1,,True,False,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1550,TE,-3886.0,2478.0,device,0,0,
N/A,X:-2726Y:2478Calibration9,True,,,,True,False,0,10,,,1,,True,False,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1550,TE,-2726.0,2478.0,device,0,0,
N/A,X:-3306Y:2478Calibration8,True,,,,True,False,0,10,,,1,,True,False,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1550,TE,-3306.0,2478.0,device,0,0,
N/A,X:-3306Y:1154Calibration3,True,,,,True,False,0,10,,,1,,True,False,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1550,TE,-3306.0,1154.0,device,0,0,
N/A,X:-3886Y:3404Calibration10,True,,,,True,False,0,10,,,1,,True,False,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1550,TE,-3886.0,3404.0,device,0,0,
N/A,X:-3306Y:3404Calibration11,True,,,,True,False,0,10,,,1,,True,False,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1550,TE,-3306.0,3404.0,device,0,0,
N/A,X:-2726Y:1269Calibration6,True,,,,True,False,0,10,,,1,,True,False,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1550,TE,-2726.0,1269.0,device,0,0,
N/A,X:-2726Y:1154Calibration5,True,,,,True,False,0,10,,,1,,True,False,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1550,TE,-2726.0,1154.0,device,0,0,
N/A,X:-3886Y:1269Calibration2,True,,,,True,False,0,10,,,1,,True,False,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1550,TE,-3886.0,1269.0,device,0,0,
N/A,X:-3886Y:1154Calibration1,True,,,,True,False,0,10,,,1,,True,False,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1550,TE,-3886.0,1154.0,device,0,0,
